Date/Time,Seed I/O 3 - Wind Direction (°),Seed I/O 3 - Outdoor RH (%),Seed I/O 3 - Outdoor Temp (°F),Seed I/O 3 - Outdoor PAR (PAR),Seed I/O 3 - Wind Speed (mph),Seed I/O 3 - Precipitation,Outside Weather Station - Zone Temperature (°F),Outside Weather Station - Zone Relative Humidity (%),Outside Weather Station - Zone VPD (kPa),Outside Weather Station - Zone Solar Intensity (PAR),Outside Weather Station - Zone CO2 (ppm),Outside Weather Station - Zone Wind Speed (mph),Outside Weather Station - Zone Wind Direction (°),Outside Weather Station - Zone Outside Precipitation,
12/1/2018 06:45,,,,,,,35.45,101.84,,0,,0,0,,
12/1/2018 07:00,,,,,,,35.58,102.2,,0,,0,22.5,,
12/1/2018 07:15,,,,,,,35.66,101.94,,0,,0,22.5,,
12/1/2018 07:30,,,,,,,35.95,100.67,0,0,,0,22.5,,
12/1/2018 07:45,,,,,,,35.85,99.93,0.01,0.9,,0,67.5,,
12/1/2018 08:00,,,,,,,35.82,100.69,0,7.25,,0,22.5,,
12/1/2018 08:15,,,,,,,36.03,100.67,0,17.95,,0,0,,
12/1/2018 08:30,,,,,,,36.31,96.43,0.03,41.36,,0,22.5,,
12/1/2018 08:45,,,,,,,36.68,93.89,0.05,70.5,,0,22.5,,
12/1/2018 09:00,,,,,,,37.11,89.94,0.08,108.68,,0,67.5,,
12/1/2018 09:15,,,,,,,37.3,87.74,0.1,155.71,,0,22.5,,
12/1/2018 09:30,,,,,,,37.5,87.91,0.1,181.79,,0,22.5,,
12/1/2018 09:45,,,,,,,37.81,85.81,0.11,347.63,,0,22.5,,
12/1/2018 10:00,,,,,,,38.75,80.97,0.15,462.51,,0,22.5,,
12/1/2018 10:15,,,,,,,39.96,79.46,0.16,514.07,,0,45,,
12/1/2018 10:30,,,,,,,41.39,74.13,0.22,564.21,,0,45,,
12/1/2018 10:45,,,,,,,42.59,72.26,0.25,570.21,,0,45,,
12/1/2018 11:00,,,,,,,43.56,69.6,0.29,648.65,,0,45,,
12/1/2018 11:15,,,,,,,44.39,66.53,0.33,708.45,,0,22.5,,
12/1/2018 11:30,,,,,,,45.37,63.22,0.38,709.81,,0,112.5,,
12/1/2018 11:45,,,,,,,46.69,61.04,0.41,753.05,,0,0,,
12/1/2018 12:00,,,,,,,47.55,66.79,0.37,781.39,,0,45,,
12/1/2018 12:15,,,,,,,49.01,63.16,0.42,843.69,,0,202.5,,
12/1/2018 12:30,,,,,,,51.1,60.56,0.52,848.79,,0,45,,
12/1/2018 12:45,,,,,,,50.29,59.05,0.51,805.44,,0,22.5,,
12/1/2018 13:00,,,,,,,47.54,69.03,0.34,801.58,,0,135,,
12/1/2018 13:15,,,,,,,49.29,62.9,0.45,808.86,,0,22.5,,
12/1/2018 13:30,,,,,,,51.08,49.57,0.62,790.23,,0,247.5,,
12/1/2018 13:45,,,,,,,50.78,49.53,0.63,289.82,,0,180,,
12/1/2018 14:00,,,,,,,50.5,51.38,0.57,643.76,,0,247.5,,
12/1/2018 14:15,,,,,,,49.77,53.15,0.57,556.93,,0,157.5,,
12/1/2018 14:30,,,,,,,49.17,56.75,0.52,594.49,,0,180,,
12/1/2018 14:45,,,,,,,49.82,51.34,0.58,542.39,,0,247.5,,
12/1/2018 15:00,,,,,,,49.99,59.89,0.49,484.19,,0,315,,
12/1/2018 15:15,,,,,,,49.86,52.73,0.57,433.92,,0,247.5,,
12/1/2018 15:30,,,,,,,49.6,59.15,0.48,334.46,,0,225,,
12/1/2018 15:45,,,,,,,48.47,65.68,0.4,209.7,,0,0,,
12/1/2018 16:00,,,,,,,46.92,63.31,0.4,135.55,,0,22.5,,
12/1/2018 16:15,,,,,,,45.41,68.36,0.33,99.51,,0,337.5,,
12/1/2018 16:30,,,,,,,43.88,71.18,0.27,69.4,,0,22.5,,
12/1/2018 16:45,,,,,,,42.57,72.86,0.25,42.11,,0,22.5,,
12/1/2018 17:00,,,,,,,41.36,74.43,0.23,18.83,,0,315,,
12/1/2018 17:15,,,,,,,40.18,75.06,0.22,3.96,,0,0,,
12/1/2018 17:30,,,,,,,39.02,77.26,0.18,0,,0,202.5,,
12/1/2018 17:45,,,,,,,37.95,80.47,0.15,0,,0,337.5,,
12/1/2018 18:00,,,,,,,36.62,82.43,0.13,0,,0,22.5,,
12/1/2018 18:15,,,,,,,35.59,85.23,0.1,0,,0,22.5,,
12/1/2018 18:30,,,,,,,35.21,86.74,0.1,0,,0,45,,
12/1/2018 18:45,,,,,,,34.61,89.99,0.07,0,,0,0,,
12/1/2018 19:00,,,,,,,34.66,91.23,0.06,0,,0,22.5,,
12/1/2018 19:15,,,,,,,34.7,91.22,0.06,0,,0,22.5,,
12/1/2018 19:30,,,,,,,34.5,91.92,0.06,0,,0,0,,
12/1/2018 19:45,,,,,,,34.49,93.94,0.04,0,,0,337.5,,
12/1/2018 20:00,,,,,,,34.53,93.7,0.05,0,,0,0,,
12/1/2018 20:15,,,,,,,34.45,95.25,0.03,0,,0,22.5,,
12/1/2018 20:30,,,,,,,33.78,97.8,0.02,0,,0,22.5,,
12/1/2018 20:45,,,,,,,32.96,100.26,0,0,,0,22.5,,
12/1/2018 21:00,,,,,,,32.95,105.14,,0,,0,22.5,,
12/1/2018 21:15,,,,,,,33.42,102.49,,0,,0,22.5,,
12/1/2018 21:30,,,,,,,33.92,100.22,0,0,,0,22.5,,
12/1/2018 21:45,,,,,,,34.41,98.24,0.01,0,,0,22.5,,
12/1/2018 22:00,,,,,,,34.6,96.04,0.03,0,,0,22.5,,
12/1/2018 22:15,,,,,,,34.44,97.74,0.02,0,,0,22.5,,
12/1/2018 22:30,,,,,,,34.34,98.64,0.01,0,,0,22.5,,
12/1/2018 22:45,,,,,,,34.1,101.4,,0,,0,22.5,,
12/1/2018 23:00,,,,,,,34.35,100.69,0,0,,0,22.5,,
12/1/2018 23:15,,,,,,,34.51,99.06,0.01,0,,0,22.5,,
12/1/2018 23:30,,,,,,,34.69,98.66,0.01,0,,0,22.5,,
12/1/2018 23:45,,,,,,,34.74,98.51,0.01,0,,0,22.5,,
12/2/2018 00:00,,,,,,,34.73,98.84,0.01,0,,0,22.5,,
12/2/2018 00:15,,,,,,,34.84,98.55,0.01,0,,0,45,,
12/2/2018 00:30,,,,,,,34.81,98.58,0.01,0,,0,22.5,,
12/2/2018 00:45,,,,,,,34.94,98.47,0.01,0,,0,22.5,,
12/2/2018 01:00,,,,,,,34.99,98.48,0.01,0,,0,22.5,,
12/2/2018 01:15,,,,,,,35.04,98.54,0.01,0,,0,22.5,,
12/2/2018 01:30,,,,,,,35.18,98.96,0.01,0,,0,22.5,,
12/2/2018 01:45,,,,,,,35.22,99.05,0.01,0,,0,0,,
12/2/2018 02:00,,,,,,,35.49,98.58,0.01,0,,0,22.5,,
12/2/2018 02:15,,,,,,,35.76,98.02,0.01,0,,0,22.5,,
12/2/2018 02:30,,,,,,,35.87,98.02,0.02,0,,0,45,,
12/2/2018 02:45,,,,,,,35.92,97.18,0.02,0,,0,22.5,,
12/2/2018 03:00,,,,,,,35.95,96.98,0.02,0,,0,67.5,,
12/2/2018 03:15,,,,,,,36.12,97.61,0.02,0,,0,22.5,,
12/2/2018 03:30,,,,,,,36.26,98.17,0.01,0,,0,22.5,,
12/2/2018 03:45,,,,,,,36.34,97.71,0.02,0,,0,22.5,,
12/2/2018 04:00,,,,,,,36.5,97.78,0.02,0,,0,22.5,,
12/2/2018 04:15,,,,,,,36.61,97.37,0.02,0,,0,22.5,,
12/2/2018 04:30,,,,,,,36.61,97.69,0.02,0,,0,45,,
12/2/2018 04:45,,,,,,,36.51,99.22,0.01,0,,0,45,,
12/2/2018 05:00,,,,,,,36.25,102.04,,0,,0,45,,
12/2/2018 05:15,,,,,,,36.07,106.35,,0,,0,90,,
12/2/2018 05:30,,,,,,,36.02,109.31,,0,,0,22.5,,
12/2/2018 05:45,,,,,,,36.13,110.83,,0,,0,22.5,,
12/2/2018 06:00,,,,,,,36.35,111.15,,0,,0,45,,
12/2/2018 06:15,,,,,,,36.56,111.63,,0,,0,22.5,,
12/2/2018 06:30,,,,,,,36.77,111.6,,0,,0,112.5,,
12/2/2018 06:45,,,,,,,37.19,111.94,,0,,0,67.5,,
12/2/2018 07:00,,,,,,,37.24,111.81,,0,,0,157.5,,
12/2/2018 07:15,,,,,,,37.33,112.6,,0,,0,22.5,,
12/2/2018 07:30,,,,,,,37.47,113.51,,0,,0,22.5,,
12/2/2018 07:45,,,,,,,37.57,113.6,,0,,0,337.5,,
12/2/2018 08:00,,,,,,,37.93,114.03,,0.36,,0,22.5,,
12/2/2018 08:15,,,,,,,37.96,113.93,,3.41,,0,22.5,,
12/2/2018 08:30,,,,,,,38.24,113.29,,6.54,,0,112.5,,
12/2/2018 08:45,,,,,,,38.38,113.91,,23.23,,0,22.5,,
12/2/2018 09:00,,,,,,,38.62,114.73,,18.99,,0,22.5,,
12/2/2018 09:15,,,,,,,38.83,114.86,,26.91,,0,22.5,,
12/2/2018 09:30,,,,,,,39.18,114.75,,35.62,,0,45,,
12/2/2018 09:45,,,,,,,39.7,114.98,,24.29,,0,0,,
12/2/2018 10:00,,,,,,,39.97,114.86,,50.7,,0,22.5,,
12/2/2018 10:15,,,,,,,40.34,113.97,,103.18,,0,180,,
12/2/2018 10:30,,,,,,,41.05,113.7,,115.36,,0,135,,
12/2/2018 10:45,,,,,,,42.58,113.95,,70.86,,0,180,,
12/2/2018 11:00,,,,,,,45.02,113.01,,106.12,,0,157.5,,
12/2/2018 11:15,,,,,,,46.4,112.74,,80.09,,0,180,,
12/2/2018 11:30,,,,,,,46.94,111.91,,108.83,,0.45,157.5,,
12/2/2018 11:45,,,,,,,47.24,112.06,,109.84,,0.14,180,,
12/2/2018 12:00,,,,,,,47.57,111.45,,110.52,,0,135,,
12/2/2018 12:15,,,,,,,47.77,111.99,,53.63,,0.7,157.5,,
12/2/2018 12:30,,,,,,,47.75,111.68,,129.78,,0,157.5,,
12/2/2018 12:45,,,,,,,48.01,111.79,,135.5,,0,157.5,,
12/2/2018 13:00,,,,,,,48.23,111.25,,139.26,,0,157.5,,
12/2/2018 13:15,,,,,,,48.43,111.34,,117.63,,0,157.5,,
12/2/2018 13:30,,,,,,,48.54,111.03,,200.08,,0,135,,
12/2/2018 13:45,,,,,,,48.58,111.84,,135.9,,0,0,,
12/2/2018 14:00,,,,,,,48.85,111.27,,187.67,,0,157.5,,
12/2/2018 14:15,,,,,,,49.14,110.63,,140.72,,0,157.5,,
12/2/2018 14:30,,,,,,,49.22,110.82,,148.67,,0,112.5,,
12/2/2018 14:45,,,,,,,49.26,110.9,,137.69,,0,135,,
12/2/2018 15:00,,,,,,,49.34,110.65,,116.31,,0,90,,
12/2/2018 15:15,,,,,,,49.36,110.79,,103.57,,0,135,,
12/2/2018 15:30,,,,,,,49.4,110.93,,75.64,,0,225,,
12/2/2018 15:45,,,,,,,49.55,110.79,,88.96,,0,67.5,,
12/2/2018 16:00,,,,,,,49.69,110.87,,78.1,,0,112.5,,
12/2/2018 16:15,,,,,,,49.55,111.33,,67.95,,0,67.5,,
12/2/2018 16:30,,,,,,,49.2,111.65,,27.33,,0,22.5,,
12/2/2018 16:45,,,,,,,49.15,111.96,,13.05,,0,22.5,,
12/2/2018 17:00,,,,,,,48.83,112.14,,5.7,,0,45,,
12/2/2018 17:15,,,,,,,48.51,113.02,,1.45,,0,22.5,,
12/2/2018 17:30,,,,,,,47.75,112.66,,0,,0,22.5,,
12/2/2018 17:45,,,,,,,46.43,113.25,,0,,0,22.5,,
12/2/2018 18:00,,,,,,,44.7,114.2,,0,,0,22.5,,
12/2/2018 18:15,,,,,,,43.66,114.5,,0,,0,67.5,,
12/2/2018 18:30,,,,,,,43.06,114.41,,0,,0,45,,
12/2/2018 18:45,,,,,,,42.62,115,,0,,0,45,,
12/2/2018 19:00,,,,,,,42.38,115.15,,0,,0,45,,
12/2/2018 19:15,,,,,,,42.25,115.69,,0,,0,22.5,,
12/2/2018 19:30,,,,,,,42.24,115.18,,0,,0,22.5,,
12/2/2018 19:45,,,,,,,42.22,115.23,,0,,0,22.5,,
12/2/2018 20:00,,,,,,,42.41,115.12,,0,,0,45,,
12/2/2018 20:15,,,,,,,42.41,114.94,,0,,0,67.5,,
12/2/2018 20:30,,,,,,,42.6,115.12,,0,,0,45,,
12/2/2018 20:45,,,,,,,42.84,114.98,,0,,0,67.5,,
12/2/2018 21:00,,,,,,,42.99,115.19,,0,,0,22.5,,
12/2/2018 21:15,,,,,,,43.12,115.04,,0,,0,0,,
12/2/2018 21:30,,,,,,,43.07,114.29,,0,,0,67.5,,
12/2/2018 21:45,,,,,,,43.49,114.21,,0,,0,270,,
12/2/2018 22:00,,,,,,,43.45,114.7,,0,,0,0,,
12/2/2018 22:15,,,,,,,43.68,114.45,,0,,0,337.5,,
12/2/2018 22:30,,,,,,,43.75,114.63,,0,,0,0,,
12/2/2018 22:45,,,,,,,43.64,114.7,,0,,0,0,,
12/2/2018 23:00,,,,,,,43.7,113.84,,0,,0,247.5,,
12/2/2018 23:15,,,,,,,43.69,114.36,,0,,0,225,,
12/2/2018 23:30,,,,,,,43.86,114.69,,0,,0,22.5,,
12/2/2018 23:45,,,,,,,43.85,114.72,,0,,0,0,,
12/3/2018 00:00,,,,,,,43.4,114.69,,0,,0,337.5,,
12/3/2018 00:15,,,,,,,43.37,115.24,,0,,0,0,,
12/3/2018 00:30,,,,,,,43.41,114.84,,0,,0,0,,
12/3/2018 00:45,,,,,,,43.51,114.75,,0,,0,0,,
12/3/2018 01:00,,,,,,,43.49,114.52,,0,,0,315,,
12/3/2018 01:15,,,,,,,43.18,114.64,,0,,0,315,,
12/3/2018 01:30,,,,,,,42.89,114.7,,0,,0,22.5,,
12/3/2018 01:45,,,,,,,42.62,114.41,,0,,0,315,,
12/3/2018 02:00,,,,,,,42.53,115.09,,0,,0,315,,
12/3/2018 02:15,,,,,,,42.58,114.99,,0,,0,292.5,,
12/3/2018 02:30,,,,,,,42.64,115.1,,0,,0,0,,
12/3/2018 02:45,,,,,,,42.6,114.59,,0,,0,270,,
12/3/2018 03:00,,,,,,,42.58,114.46,,0,,0,270,,
12/3/2018 03:15,,,,,,,42.55,115.48,,0,,0,315,,
12/3/2018 03:30,,,,,,,42.51,115,,0,,0,315,,
12/3/2018 03:45,,,,,,,42.36,115.27,,0,,0,315,,
12/3/2018 04:00,,,,,,,42.02,115.33,,0,,0,337.5,,
12/3/2018 04:15,,,,,,,41.74,115.43,,0,,0,337.5,,
12/3/2018 04:30,,,,,,,41.49,115.6,,0,,0,22.5,,
12/3/2018 04:45,,,,,,,41.33,115.63,,0,,0,315,,
12/3/2018 05:00,,,,,,,41.12,115.46,,0,,0,67.5,,
12/3/2018 05:15,,,,,,,40.74,115.64,,0,,0,292.5,,
12/3/2018 05:30,,,,,,,40.58,115.45,,0,,0,22.5,,
12/3/2018 05:45,,,,,,,40.5,114.91,,0,,0,45,,
12/3/2018 06:00,,,,,,,40.34,115.53,,0,,0,315,,
12/3/2018 06:15,,,,,,,40.13,116.52,,0,,0,0,,
12/3/2018 06:30,,,,,,,39.47,116.13,,0,,0,22.5,,
12/3/2018 06:45,,,,,,,39.05,115.47,,0,,0,180,,
12/3/2018 07:00,,,,,,,39.16,115.83,,0,,0,225,,
12/3/2018 07:15,,,,,,,39.41,115.75,,0,,0,157.5,,
12/3/2018 07:30,,,,,,,39.7,115.7,,0,,0,247.5,,
12/3/2018 07:45,,,,,,,39.77,116.15,,0.46,,0,247.5,,
12/3/2018 08:00,,,,,,,39.89,116.03,,6.75,,0,247.5,,
12/3/2018 08:15,,,,,,,40.24,115.79,,13.91,,0,247.5,,
12/3/2018 08:30,,,,,,,40.34,115.73,,21.42,,0,247.5,,
12/3/2018 08:45,,,,,,,40.61,116.26,,42.99,,0,337.5,,
12/3/2018 09:00,,,,,,,41.27,115.92,,81.71,,0,45,,
12/3/2018 09:15,,,,,,,41.88,115.6,,71.23,,0,292.5,,
12/3/2018 09:30,,,,,,,41.94,115.85,,141.52,,0,0,,
12/3/2018 09:45,,,,,,,42.35,115.03,,118.36,,0,247.5,,
12/3/2018 10:00,,,,,,,42.76,114.94,,186.25,,0,270,,
12/3/2018 10:15,,,,,,,43.37,114.51,,167.62,,0,270,,
12/3/2018 10:30,,,,,,,44.24,114.24,,210.6,,0,292.5,,
12/3/2018 10:45,,,,,,,45.07,114.12,,232.26,,0,22.5,,
12/3/2018 11:00,,,,,,,45.86,113.82,,324.9,,0,315,,
12/3/2018 11:15,,,,,,,47.76,112.46,,626.15,,0,0,,
12/3/2018 11:30,,,,,,,50.31,107.24,,863.82,,0,45,,
12/3/2018 11:45,,,,,,,51.19,108.51,,729.28,,0,0,,
12/3/2018 12:00,,,,,,,53.26,108.21,,889.92,,0,0,,
12/3/2018 12:15,,,,,,,54.28,108.08,,1087.58,,0.22,337.5,,
12/3/2018 12:30,,,,,,,55.73,105.51,,731.45,,0,315,,
12/3/2018 12:45,,,,,,,56.93,98.48,0.02,476.39,,0.94,22.5,,
12/3/2018 13:00,,,,,,,54.77,92.77,0.11,158.1,,1.59,315,,
12/3/2018 13:15,,,,,,,53.4,85.9,0.19,406.01,,0.25,337.5,,
12/3/2018 13:30,,,,,,,52.84,85.18,0.2,428.13,,0,315,,
12/3/2018 13:45,,,,,,,53.95,76.12,0.31,723.78,,0,292.5,,
12/3/2018 14:00,,,,,,,56.03,73.26,0.4,702.05,,0,0,,
12/3/2018 14:15,,,,,,,55.47,73.62,0.39,634.99,,0,22.5,,
12/3/2018 14:30,,,,,,,56.44,69.54,0.47,594.35,,0,337.5,,
12/3/2018 14:45,,,,,,,56.21,68.55,0.5,538.87,,4.94,337.5,,
12/3/2018 15:00,,,,,,,55.24,71.53,0.45,153.63,,0.24,337.5,,
12/3/2018 15:15,,,,,,,54.13,76.05,0.33,185.33,,0,45,,
12/3/2018 15:30,,,,,,,53.76,70.76,0.4,166.72,,0.01,22.5,,
12/3/2018 15:45,,,,,,,52.97,75.44,0.32,135.35,,0.01,337.5,,
12/3/2018 16:00,,,,,,,52.73,78.9,0.28,86.01,,0,337.5,,
12/3/2018 16:15,,,,,,,52.5,78.13,0.3,97.18,,0,0,,
12/3/2018 16:30,,,,,,,51.67,73.21,0.34,57.54,,0,202.5,,
12/3/2018 16:45,,,,,,,51.09,76.67,0.31,40.67,,0,337.5,,
12/3/2018 17:00,,,,,,,50.56,78.7,0.27,20.11,,0,22.5,,
12/3/2018 17:15,,,,,,,49.64,74.4,0.31,4.73,,0,337.5,,
12/3/2018 17:30,,,,,,,48.88,74.19,0.3,0,,0,315,,
12/3/2018 17:45,,,,,,,48.19,77.32,0.26,0,,0,315,,
12/3/2018 18:00,,,,,,,47.58,82.23,0.2,0,,0,247.5,,
12/3/2018 18:15,,,,,,,47.05,79.19,0.23,0,,0,315,,
12/3/2018 18:30,,,,,,,46.75,81.67,0.2,0,,0,337.5,,
12/3/2018 18:45,,,,,,,46.46,82.72,0.19,0,,0,292.5,,
12/3/2018 19:00,,,,,,,46.52,80.88,0.21,0,,0,0,,
12/3/2018 19:15,,,,,,,46.36,84.08,0.18,0,,0,22.5,,
12/3/2018 19:30,,,,,,,45.97,86.16,0.14,0,,0,315,,
12/3/2018 19:45,,,,,,,45.2,83.33,0.17,0,,0,337.5,,
12/3/2018 20:00,,,,,,,44.99,87.48,0.13,0,,0,0,,
12/3/2018 20:15,,,,,,,45.07,87.86,0.13,0,,0,0,,
12/3/2018 20:30,,,,,,,45.11,85.04,0.16,0,,0,315,,
12/3/2018 20:45,,,,,,,44.98,90,0.1,0,,0,292.5,,
12/3/2018 21:00,,,,,,,45.25,84.93,0.16,0,,0,270,,
12/3/2018 21:15,,,,,,,45,87.24,0.14,0,,0,315,,
12/3/2018 21:30,,,,,,,45.13,91.15,0.1,0,,0,22.5,,
12/3/2018 21:45,,,,,,,45.63,97.32,0.03,0,,3.71,22.5,,
12/3/2018 22:00,,,,,,,44.44,101.15,,0,,0,337.5,,
12/3/2018 22:15,,,,,,,43.18,99.57,0.01,0,,0,0,,
12/3/2018 22:30,,,,,,,42.64,97.39,0.03,0,,0.03,22.5,,
12/3/2018 22:45,,,,,,,42.29,95.64,0.05,0,,1.95,22.5,,
12/3/2018 23:00,,,,,,,42.25,96.12,0.04,0,,0.23,45,,
12/3/2018 23:15,,,,,,,42.13,92.7,0.07,0,,0.01,22.5,,
12/3/2018 23:30,,,,,,,41.77,91.77,0.08,0,,4.77,22.5,,
12/3/2018 23:45,,,,,,,41.39,88.73,0.1,0,,0,45,,
12/4/2018 00:00,,,,,,,40.8,83.63,0.14,0,,14.17,22.5,,
12/4/2018 00:15,,,,,,,40.49,78.5,0.18,0,,0.6,22.5,,
12/4/2018 00:30,,,,,,,40.23,77.99,0.19,0,,0.17,22.5,,
12/4/2018 00:45,,,,,,,39.94,72.72,0.23,0,,9.33,0,,
12/4/2018 01:00,,,,,,,39.32,71.51,0.23,0,,8.84,0,,
12/4/2018 01:15,,,,,,,38.54,73.13,0.21,0,,0.18,337.5,,
12/4/2018 01:30,,,,,,,37.9,74.65,0.19,0,,0,45,,
12/4/2018 01:45,,,,,,,37.41,73.72,0.2,0,,1.98,22.5,,
12/4/2018 02:00,,,,,,,36.93,73.22,0.2,0,,1.84,0,,
12/4/2018 02:15,,,,,,,36.61,74.1,0.19,0,,1.28,0,,
12/4/2018 02:30,,,,,,,36.15,75.47,0.18,0,,0.06,22.5,,
12/4/2018 02:45,,,,,,,35.82,77.76,0.16,0,,0,22.5,,
12/4/2018 03:00,,,,,,,35.98,74.76,0.18,0,,0.01,22.5,,
12/4/2018 03:15,,,,,,,35.89,74.63,0.18,0,,0,22.5,,
12/4/2018 03:30,,,,,,,35.53,75.12,0.18,0,,0,22.5,,
12/4/2018 03:45,,,,,,,35.33,72.98,0.19,0,,1.56,22.5,,
12/4/2018 04:00,,,,,,,35.43,72.55,0.19,0,,0,22.5,,
12/4/2018 04:15,,,,,,,35.59,70.8,0.21,0,,0,22.5,,
12/4/2018 04:30,,,,,,,35.71,68.73,0.22,0,,0,337.5,,
12/4/2018 04:45,,,,,,,35.58,69.15,0.21,0,,0.07,0,,
12/4/2018 05:00,,,,,,,35.59,69.48,0.21,0,,0.03,22.5,,
12/4/2018 05:15,,,,,,,35.3,71.38,0.2,0,,5.22,22.5,,
12/4/2018 05:30,,,,,,,34.97,73.51,0.18,0,,1.82,337.5,,
12/4/2018 05:45,,,,,,,34.7,74.42,0.17,0,,0.01,22.5,,
12/4/2018 06:00,,,,,,,34.48,75.67,0.17,0,,0,22.5,,
12/4/2018 06:15,,,,,,,34.57,73.62,0.18,0,,0.08,22.5,,
12/4/2018 06:30,,,,,,,34.61,70.05,0.2,0,,13.64,22.5,,
12/4/2018 06:45,,,,,,,34.54,71.71,0.19,0,,0,0,,
12/4/2018 07:00,,,,,,,34.3,70.77,0.2,0,,0,0,,
12/4/2018 07:15,,,,,,,33.84,72.42,0.18,0,,0.01,337.5,,
12/4/2018 07:30,,,,,,,34.1,68.2,0.21,0,,7.42,22.5,,
12/4/2018 07:45,,,,,,,34.25,69.24,0.21,0.96,,0,0,,
12/4/2018 08:00,,,,,,,34.51,69.67,0.21,10.21,,0,22.5,,
12/4/2018 08:15,,,,,,,34.9,69.98,0.2,42.49,,0,0,,
12/4/2018 08:30,,,,,,,35.95,67.43,0.23,84.89,,9.7,0,,
12/4/2018 08:45,,,,,,,36.65,62.81,0.27,108.64,,0.04,22.5,,
12/4/2018 09:00,,,,,,,37.49,62.11,0.29,226.62,,0,22.5,,
12/4/2018 09:15,,,,,,,37.29,57.44,0.32,263.5,,6.35,22.5,,
12/4/2018 09:30,,,,,,,36.74,56.76,0.32,322.45,,0.26,22.5,,
12/4/2018 09:45,,,,,,,36.6,55.43,0.32,380.88,,2.57,337.5,,
12/4/2018 10:00,,,,,,,36.13,52.72,0.34,436.77,,21.28,22.5,,
12/4/2018 10:15,,,,,,,35.99,51.59,0.34,487.73,,10.47,22.5,,
12/4/2018 10:30,,,,,,,35.87,50.01,0.35,538.84,,21.57,22.5,,
12/4/2018 10:45,,,,,,,36.28,49.47,0.37,586.71,,17.1,22.5,,
12/4/2018 11:00,,,,,,,36.69,48.92,0.37,622.37,,5.11,22.5,,
12/4/2018 11:15,,,,,,,37.21,49.65,0.38,659.31,,15.09,22.5,,
12/4/2018 11:30,,,,,,,37.24,49.44,0.38,687.5,,6.71,0,,
12/4/2018 11:45,,,,,,,37.65,49.72,0.38,712,,9.53,22.5,,
12/4/2018 12:00,,,,,,,38.36,48.82,0.4,735.62,,3.92,0,,
12/4/2018 12:15,,,,,,,38.05,48.59,0.4,757.49,,12.39,22.5,,
12/4/2018 12:30,,,,,,,37.97,52.21,0.36,785.16,,1.96,22.5,,
12/4/2018 12:45,,,,,,,37.94,49.33,0.38,763.3,,9.32,337.5,,
12/4/2018 13:00,,,,,,,37.88,45.83,0.41,758.18,,13.75,22.5,,
12/4/2018 13:15,,,,,,,36.88,48.05,0.38,726.54,,0.16,22.5,,
12/4/2018 13:30,,,,,,,36.7,44.54,0.4,700.38,,11.83,337.5,,
12/4/2018 13:45,,,,,,,36.56,44.42,0.4,675.41,,13.22,22.5,,
12/4/2018 14:00,,,,,,,37,45.37,0.39,595.08,,15.4,0,,
12/4/2018 14:15,,,,,,,36.54,46.64,0.39,578.49,,3.47,22.5,,
